altProductId,priceType,Здравсити,Apteka.ru,Доктор Столетов,Аптеки ГОРЗДРАВ,Планета Здоровья,Ваша №1,ЕАПТЕКА
19450,median,93.0,81.0,80.0,,95.0,114.0,126.0
86415,median,123.0,118.0,151.0,165.0,126.0,,159.0
17708,median,123.0,118.0,151.0,165.0,126.0,,159.0
17707,median,82.0,84.0,118.0,114.0,109.0,,111.0
77628,median,228.0,231.0,227.0,242.0,227.0,205.0,228.0
40684,median,228.0,231.0,227.0,242.0,227.0,205.0,228.0
62782,median,137.0,145.0,153.0,166.0,145.0,172.0,166.0
67490,median,137.0,145.0,153.0,166.0,145.0,172.0,166.0
72181,median,137.0,145.0,153.0,166.0,145.0,172.0,166.0
78097,median,137.0,145.0,153.0,166.0,145.0,172.0,166.0
67012,median,137.0,145.0,153.0,166.0,145.0,172.0,166.0
18232,median,489.0,493.0,550.0,489.0,499.0,487.0,491.0
82678,median,489.0,493.0,550.0,489.0,499.0,487.0,491.0
64817,median,489.0,493.0,550.0,489.0,499.0,487.0,491.0
58280,median,,88.5,79.0,89.0,88.0,71.0,87.0
73939,median,,88.5,79.0,89.0,88.0,71.0,87.0
83079,median,,88.5,79.0,89.0,88.0,71.0,87.0
72305,median,,88.5,79.0,89.0,88.0,71.0,87.0
48212,median,,100.0,102.0,102.0,100.0,,
46335,median,97.0,107.0,,94.0,95.0,96.0,97.0
85257,median,177.0,183.0,162.0,193.0,194.0,194.0,
60620,median,177.0,183.0,162.0,193.0,194.0,194.0,
67539,median,177.0,183.0,162.0,193.0,194.0,194.0,
76713,median,177.0,183.0,162.0,193.0,194.0,194.0,
82775,median,154.0,162.0,161.0,171.0,172.0,170.0,
67079,median,154.0,162.0,161.0,171.0,172.0,170.0,
02420,median,1893.0,1963.0,1975.0,1876.0,1780.0,1838.0,1921.0
50127,median,1548.0,1573.0,1703.0,1865.0,1565.0,1579.0,1671.0
51982,median,195.0,202.0,222.0,218.0,218.0,,204.0
76838,median,82.0,110.0,117.0,152.0,110.0,107.0,108.0
48355,median,82.0,110.0,117.0,152.0,110.0,107.0,108.0
47118,median,201.6,229.0,,236.0,253.0,,235.0
47890,median,201.6,229.0,,236.0,253.0,,235.0
55033,median,200.0,205.0,215.0,213.0,215.0,184.0,209.0
58132,median,200.0,205.0,215.0,213.0,215.0,184.0,209.0
80687,median,200.0,205.0,215.0,213.0,215.0,184.0,209.0
79603,median,820.0,836.0,843.0,963.0,795.0,818.0,837.0
72605,median,820.0,836.0,843.0,963.0,795.0,818.0,837.0
15893,median,820.0,836.0,843.0,963.0,795.0,818.0,837.0
66946,median,820.0,836.0,843.0,963.0,795.0,818.0,837.0
65371,median,1128.0,1128.0,1138.0,1285.0,1085.0,1109.0,1151.0
67265,median,1128.0,1128.0,1138.0,1285.0,1085.0,1109.0,1151.0
80289,median,1128.0,1128.0,1138.0,1285.0,1085.0,1109.0,1151.0
73840,median,1128.0,1128.0,1138.0,1285.0,1085.0,1109.0,1151.0
81261,median,155.0,156.0,170.0,169.0,160.0,,170.0
47582,median,155.0,156.0,170.0,169.0,160.0,,170.0
80253,median,116.0,172.0,,267.0,163.0,155.0,167.0
55046,median,116.0,172.0,,267.0,163.0,155.0,167.0
74956,median,116.0,172.0,,267.0,163.0,155.0,167.0
63466,median,116.0,172.0,,267.0,163.0,155.0,167.0
73782,median,78.0,96.0,67.0,102.0,67.5,126.0,107.0
01234,median,78.0,96.0,67.0,102.0,67.5,126.0,107.0
00220,median,653.0,,683.0,621.0,595.0,607.0,705.0
86928,median,653.0,,683.0,621.0,595.0,607.0,705.0
80488,median,407.0,404.0,403.0,447.0,425.0,379.0,422.0
45686,median,407.0,404.0,403.0,447.0,425.0,379.0,422.0
78877,median,402.0,397.0,390.0,360.0,409.0,363.0,424.0
00175,median,402.0,397.0,390.0,360.0,409.0,363.0,424.0
79192,median,342.0,429.0,481.0,442.0,459.0,433.0,494.0
00174,median,342.0,429.0,481.0,442.0,459.0,433.0,494.0
45685,median,464.0,463.0,471.0,452.0,520.0,437.0,492.0
78968,median,464.0,463.0,471.0,452.0,520.0,437.0,492.0
60941,median,650.0,656.0,704.0,627.0,645.0,640.0,669.0
67684,median,650.0,656.0,704.0,627.0,645.0,640.0,669.0
13010,median,650.0,656.0,704.0,627.0,645.0,640.0,669.0
80137,median,230.0,233.0,,238.0,256.0,256.0,250.0
02210,median,230.0,233.0,,238.0,256.0,256.0,250.0
70637,median,230.0,233.0,,238.0,256.0,256.0,250.0
73933,median,152.0,158.0,201.0,160.0,190.0,162.0,196.0
01804,median,152.0,158.0,201.0,160.0,190.0,162.0,196.0
74301,median,152.0,158.0,201.0,160.0,190.0,162.0,196.0
01805,median,,160.0,166.0,166.0,164.0,138.0,159.0
79749,median,,160.0,166.0,166.0,164.0,138.0,159.0
01795,median,132.0,142.0,143.0,145.0,142.0,,147.0
80501,median,132.0,142.0,143.0,145.0,142.0,,147.0
82211,median,184.0,190.0,202.0,204.0,200.0,181.0,201.0
01794,median,184.0,190.0,202.0,204.0,200.0,181.0,201.0
80338,median,126.0,131.0,,159.0,147.0,126.0,152.0
