Date,City,AllTypesPercent,ExtendedPickupPercent
2026-03-15,Чеченская Республика,"63,36","64,09"
2026-03-15,Республика Тыва,"45,33","68,35"
2026-03-15,Республика Калмыкия,"38,92","63,20"
2026-03-15,Республика Дагестан,"28,58","29,69"
2026-03-15,Республика Крым,"24,14","35,63"
2026-03-15,Астраханская область,"23,95","38,37"
2026-03-15,Республика Алтай,"22,40","46,76"
2026-03-15,Курская область,"22,39","36,89"
2026-03-15,Республика Адыгея,"21,87","38,76"
2026-03-15,Омская область,"21,83","46,76"
2026-03-15,Кабардино-Балкарская Республика,"21,69","23,24"
2026-03-15,Ставропольский край,"20,33","38,41"
2026-03-15,Ямало-Ненецкий АО,"19,37","36,84"
2026-03-15,Ивановская область,"18,77","30,97"
2026-03-15,Смоленская область,"18,33","29,57"
2026-03-15,Нижегородская область,"18,21","33,36"
2026-03-15,Костромская область,"17,98","25,02"
2026-03-15,Свердловская область,"17,96","39,36"
2026-03-15,Ростовская область,"17,76","34,57"
2026-03-15,Чувашская Республика - Чувашия,"17,71","32,08"
2026-03-15,Республика Северная Осетия - Алания,"17,09","23,80"
2026-03-15,Архангельская область,"16,68","28,48"
2026-03-15,Республика Хакасия,"16,33","29,48"
2026-03-15,Белгородская область,"16,33","29,25"
2026-03-15,Амурская область,"16,24","25,38"
2026-03-15,Владимирская область,"16,14","29,67"
2026-03-15,Тамбовская область,"16,09","26,74"
2026-03-15,Карачаево-Черкесская Республика,"15,83","17,25"
2026-03-15,Республика Саха (Якутия),"15,78","33,08"
2026-03-15,Брянская область,"15,67","29,17"
2026-03-15,Ханты-Мансийский АО - Югра,"15,40","32,81"
2026-03-15,Псковская область,"15,22","28,15"
2026-03-15,Краснодарский край,"14,86","28,88"
2026-03-15,Томская область,"14,72","27,20"
2026-03-15,Мурманская область,"14,70","30,39"
2026-03-15,Липецкая область,"14,69","27,82"
2026-03-15,Ульяновская область,"14,41","25,61"
2026-03-15,Республика Марий Эл,"14,32","27,33"
2026-03-15,Курганская область,"14,03","21,95"
2026-03-15,Республика Мордовия,"13,94","30,85"
2026-03-15,Красноярский край,"13,56","28,32"
2026-03-15,Пензенская область,"13,51","29,42"
2026-03-15,Республика Бурятия,"13,40","16,06"
2026-03-15,Самарская область,"13,30","25,01"
2026-03-15,Оренбургская область,"13,17","22,85"
2026-03-15,Санкт-Петербург и ЛО,"12,70","28,03"
2026-03-15,Воронежская область,"12,66","26,21"
2026-03-15,Республика Башкортостан,"12,48","19,67"
2026-03-15,Вологодская область,"12,03","22,15"
2026-03-15,Новосибирская область,"11,83","27,71"
2026-03-15,Саратовская область,"11,65","20,78"
2026-03-15,Тульская область,"11,58","19,55"
2026-03-15,Тюменская область,"10,96","23,53"
2026-03-15,Приморский край,"10,93","21,84"
2026-03-15,Кировская область,"10,64","23,82"
2026-03-15,Удмуртская Республика,"10,44","19,57"
2026-03-15,Рязанская область,"10,32","18,08"
2026-03-15,Республика Карелия,"10,32","23,57"
2026-03-15,Челябинская область,"10,24","20,30"
2026-03-15,Москва и МО,"10,09","20,85"
2026-03-15,Республика Татарстан,"10,06","22,33"
2026-03-15,Ярославская область,"9,93","20,19"
2026-03-15,Волгоградская область,"9,72","21,93"
2026-03-15,Тверская область,"9,64","17,01"
2026-03-15,Калужская область,"9,52","15,97"
2026-03-15,Новгородская область,"8,49","22,84"
2026-03-15,Алтайский край,"8,27","21,34"
2026-03-15,Орловская область,"8,05","14,99"
2026-03-15,Еврейская АО,"7,91","16,93"
2026-03-15,Иркутская область,"7,85","15,04"
2026-03-15,Хабаровский край,"7,47","15,63"
2026-03-15,Кемеровская область - Кузбасс,"6,68","14,62"
2026-03-15,Республика Коми,"6,35","14,18"
2026-03-15,Пермский край,"6,01","11,53"
2026-03-15,Забайкальский край,"1,27","3,68"
2026-03-15,Калининградская область,"1,19","2,48"
2026-03-15,Республика Ингушетия,"0,00","0,00"
2026-03-15,Камчатский край,"0,00","0,00"
2026-03-15,Магаданская область,"0,00","0,00"
2026-03-15,Сахалинская область,"0,00","0,00"
